Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
177	819	244	818	330	174.5
204	838	248	834	342	174.5
242	852	255	850	354	174.5
287	872	262	866	370	174.5
323	894	272	894	387	174.5
381	916	280	907	409	174.5
443	938	293	936	432	174.5
465	959	307	951	461	174.5
590	976	323	974	497	174.5
607	1032	345	1019	543	174.5
618	1051	374	1044	605	174.5
653	1092	417	1075	684	174.5
836	628	401	625	670	174.5
888	681	365	670	595	174.5
931	721	335	721	533	174.5
975	744	316	737	489	174.5
1040	752	299	756	454	174.5
1068	763	286	759	425	174.5
1124	759	276	763	403	174.5
1211	753	269	753	385	174.5
1251	620	263	621	373	174.5
1386	531	269	528	386	174.5
1401	506	279	509	408	174.5
1442	512	290	508	433	174.5
1454	498	305	502	460	174.5
1475	478	325	477	498	174.5
1511	456	342	459	545	174.5
1553	437	373	436	606	174.5

