Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
370	156	182	152	341	170
398	135	176	131	334	170
416	132	173	127	326	170
432	129	176	128	319	170
444	133	172	130	315	170
458	134	172	133	313	170
473	141	169	135	306	170
486	135	168	134	301	170
505	136	167	134	299	170
533	139	163	134	290	170
549	136	162	136	282	170
563	139	162	134	282	170
592	138	161	134	273	170
622	133	157	132	265	170
706	136	151	133	250	170
769	143	148	140	239	170
799	149	148	144	238	170
825	152	146	145	237	170
855	158	145	153	231	170
1028	189	139	187	212	170
1042	208	140	205	213	170

