Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
338	169	186	169	364	170
369	155	184	157	351	170
392	141	183	144	337	170
415	136	174	128	330	170
435	132	175	126	320	170
455	121	167	122	312	170
474	124	168	121	307	170
490	123	169	123	305	170
510	121	164	119	298	170
530	125	165	122	292	170
554	129	161	128	286	170
579	141	156	134	278	170
601	146	159	144	273	170
629	148	156	146	268	170
659	149	155	147	265	170
686	146	153	143	257	170
712	145	152	147	253	170
741	144	149	145	248	170
803	144	144	142	239	170
865	142	143	141	230	170
943	160	142	158	222	170
983	171	141	172	223	170

