Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
3213	762	29	762	95	170
3221	747	31	748	100	170
3228	737	34	741	106	170
3243	712	38	714	115	170
3255	690	44	693	124	170
3263	671	46	673	131	170
3270	657	50	661	139	170
3277	643	53	644	144	170
3284	632	58	635	154	170
3291	622	61	625	161	170
3298	621	68	619	171	170
3305	616	72	619	179	170
3313	628	80	625	192	170
3320	631	87	635	205	170
3327	643	94	643	217	170
3334	648	101	654	235	170
3348	663	120	670	271	170
3355	677	132	678	286	170
3361	684	141	689	304	170
3368	706	158	704	333	170
3382	748	198	736	396	170
3390	783	226	776	446	170
3396	832	248	812	487	170
3405	894	271	872	529	170
3411	977	305	933	587	170
3420	1105	365	1012	654	170

