Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
3102	746	24	747	95	180
3109	735	28	738	101	180
3116	726	29	726	104	180
3123	712	31	715	111	180
3131	698	34	699	115	180
3136	684	36	687	118	180
3145	662	41	664	127	180
3151	645	42	649	131	180
3159	625	46	627	137	180
3166	608	50	613	145	180
3173	595	57	597	155	180
3180	578	61	582	162	180
3187	567	66	570	170	180
3194	555	68	562	183	180
3201	552	77	555	198	180
3208	546	83	552	212	180
3215	542	89	546	223	180
3222	535	101	540	243	180
3237	533	124	537	292	180
3243	531	137	537	309	180
3250	539	149	547	335	180
3256	558	165	556	366	180
3263	584	188	584	401	180
3270	638	210	631	446	180
3277	696	242	685	490	180
3284	796	274	754	536	180
3293	918	301	838	588	180
3299	1028	331	938	630	180
3306	1164	371	1053	692	180

