Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
365	219	170	218	352	182
398	208	165	207	340	182
423	192	166	193	331	182
440	190	162	184	325	182
456	186	157	187	317	182
475	185	159	179	308	182
498	186	158	184	301	182
517	186	159	186	294	182
544	185	155	185	284	182
558	183	153	183	282	182
577	183	155	180	277	182
602	178	148	178	271	182
631	171	149	170	267	182
659	166	147	167	261	182
678	163	147	162	256	182
694	164	145	164	249	182
717	163	142	163	247	182
752	178	143	178	240	182
780	185	141	186	235	182
817	198	137	196	232	182
844	210	140	207	228	182

