Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
3985	751	25	753	87	172
3991	736	29	741	94	172
3998	727	30	729	98	172
4004	714	32	716	100	172
4012	700	35	699	105	172
4019	683	37	686	109	172
4025	670	39	670	115	172
4032	652	42	656	118	172
4038	644	42	646	123	172
4047	628	49	631	132	172
4054	619	53	620	135	172
4060	611	56	615	144	172
4066	606	61	610	151	172
4074	599	66	604	161	172
4082	596	73	602	171	172
4094	593	84	597	189	172
4101	588	91	597	204	172
4107	591	96	592	216	172
4115	588	106	592	235	172
4120	593	110	592	247	172
4128	595	123	602	271	172
4141	606	148	616	313	172
4147	627	161	626	335	172
4155	643	182	648	377	172
4161	678	199	670	401	172
4168	725	222	716	440	172
4183	901	276	858	521	172
4190	986	303	939	569	172
4197	1078	352	1010	632	172
4204	1196	402	1094	700	172

