Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
386	161	188	163	362	173
397	164	184	160	356	173
414	160	179	159	351	173
427	156	176	154	344	173
442	147	176	149	336	173
457	145	174	140	328	173
472	141	172	142	324	173
487	145	171	142	319	173
502	146	169	146	313	173
516	146	167	144	310	173
532	145	167	144	306	173
549	144	168	142	299	173
574	142	160	137	294	173
588	140	163	135	291	173
600	141	158	133	287	173
614	142	159	142	279	173
631	146	158	140	277	173
646	148	158	148	273	173
661	151	156	148	272	173
674	151	155	152	268	173
703	149	154	149	261	173
745	147	150	142	254	173
791	155	151	157	249	173
833	155	146	155	240	173
862	152	144	150	240	173
891	155	145	153	231	173
920	162	142	159	229	173
968	171	144	168	225	173
1035	185	140	177	221	173
1058	200	142	197	219	173

