Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
3888	747	29	746	95	173
3895	733	32	733	98	173
3901	723	34	722	100	173
3909	708	35	710	107	173
3916	699	38	699	111	173
3938	658	43	657	126	173
3946	644	47	644	130	173
3953	629	51	632	138	173
3961	616	57	619	146	173
3968	611	58	613	155	173
3996	606	79	611	190	173
4004	606	86	609	206	173
4011	602	91	609	217	173
4018	605	102	606	232	173
4026	612	110	616	249	173
4033	619	120	623	268	173
4040	623	131	630	286	173
4047	634	143	638	312	173
4054	647	157	657	334	173
4061	668	172	671	360	173
4069	696	194	698	403	173
4075	722	214	721	428	173
4083	758	243	754	478	173
4090	797	271	781	517	173
4098	837	290	820	567	173
4105	872	326	858	608	173
4113	906	369	863	680	173

