Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
2697	759	30	759	103	178
2698	755	33	757	99	178
2710	730	35	731	109	178
2716	717	37	717	115	178
2723	700	38	700	122	178
2729	688	43	687	125	178
2736	675	47	671	135	178
2743	661	49	661	139	178
2749	649	54	653	147	178
2756	642	60	645	154	178
2762	632	62	634	169	178
2769	632	66	631	175	178
2775	625	73	631	188	178
2782	629	82	631	201	178
2788	631	87	634	217	178
2795	638	98	640	233	178
2808	659	119	659	273	178
2820	691	144	690	317	178
2833	742	180	734	385	178
2846	835	235	813	476	178
2852	893	256	854	523	178
2860	1003	299	940	578	178
2866	1108	347	1019	651	178

