Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
199	114	231	160	688	180
383	205	169	231	559	180
640	163	129	188	466	180
908	473	352	501	958	180
1154	518	257	531	763	180
1339	500	178	511	592	180
1580	496	127	503	470	180
1900	925	352	893	953	180
2066	892	246	877	738	180
2221	841	165	831	560	180
2977	1174	306	1124	846	180
3164	1103	226	1068	691	180
3371	1079	169	1058	561	180
3620	1044	121	1032	449	180
180	114	202	159	686	190
385	202	147	231	558	190
642	160	109	188	464	190
919	475	313	499	957	190
1152	518	226	533	760	190
1338	499	150	510	591	190
1904	922	313	894	952	190
2072	890	215	874	737	190
2223	841	141	830	558	190
2977	1173	271	1122	845	190
3166	1101	202	1066	692	190
3366	1078	147	1056	559	190


