Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
326	632	36	634	113	174.5
341	637	45	635	130	174.5
368	641	57	641	153	174.5
429	671	71	670	183	174.5
462	709	91	711	217	174.5
496	756	118	750	267	174.5
569	808	160	802	337	174.5
592	870	217	858	433	174.5
619	728	295	740	568	174.5
660	549	303	567	580	174.5
732	446	227	465	453	174.5
759	486	164	493	347	174.5
797	509	123	521	277	174.5
835	522	96	529	228	174.5
1009	354	95	361	210	174.5
1061	292	121	305	256	174.5
1137	220	159	243	317	174.5
1220	162	214	185	399	174.5
1274	136	286	183	518	174.5
1326	246	379	301	671	174.5

